utterance_id,language,speaker_id,reference_transcript,canonical_audio_path,duration_seconds,source_dataset,pilot_stratum,is_pilot
909734087_2_29769_1,uz,909734087,odam yerda yuradi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_29769_1.wav,1.706,ISSAI_USC_v1_murodbek_hf,uz_short,true
909734087_2_29872_1,uz,909734087,ular uzoq kutishdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_29872_1.wav,1.347,ISSAI_USC_v1_murodbek_hf,uz_short,true
909734087_2_29992_1,uz,909734087,gaplarini barcha ma'qullagan lekin uni himoya qilmagan edi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_29992_1.wav,4.106,ISSAI_USC_v1_murodbek_hf,,false
909734087_2_31318_1,uz,909734087,hamma gap shu o'xshatmasidanda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_31318_1.wav,2.247,ISSAI_USC_v1_murodbek_hf,uz_short,true
909734087_2_81798_1,uz,909734087,operativ ishlaganim uchun,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_81798_1.wav,2.24,ISSAI_USC_v1_murodbek_hf,uz_short,true
909734087_2_90328_1,uz,909734087,hamdamga baravariga dahshat bilan boqishdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_90328_1.wav,2.56,ISSAI_USC_v1_murodbek_hf,uz_short,true
818938633_2_21338_1,uz,818938633,o'zini kamtar tutgan kishi yuksalishni xohlaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_21338_1.wav,3.398,ISSAI_USC_v1_murodbek_hf,uz_control,true
818938633_2_21372_1,uz,818938633,kamroq zo'ravonlikka duch kelgan bola o'z o'zini anglaydigan bo'lib o'sadi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_21372_1.wav,5.319,ISSAI_USC_v1_murodbek_hf,uz_medium,true
818938633_2_21416_1,uz,818938633,inson mehnat uchun bilimga tavakkal uchun esa sharaf va qadr qimmatga ega bo'ladi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_21416_1.wav,6.223,ISSAI_USC_v1_murodbek_hf,,false
818938633_2_74095_1,uz,818938633,inson qanchalik yaxshi bo'lsa unga boshqalarning,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_74095_1.wav,3.32,ISSAI_USC_v1_murodbek_hf,,false
818938633_2_74141_1,uz,818938633,bittasi halolligi uchun to'lovni talab qila,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_74141_1.wav,2.84,ISSAI_USC_v1_murodbek_hf,,false
818938633_2_82636_1,uz,818938633,nomusida gumon qilish shunchalik qiyin bo'ladi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_82636_1.wav,2.48,ISSAI_USC_v1_murodbek_hf,uz_short,true
818938633_2_82678_1,uz,818938633,tinchlantiradigan jamiyatga zarar etkazadigan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\818938633_2_82678_1.wav,2.92,ISSAI_USC_v1_murodbek_hf,,false
1289864764_2_31931_1,uz,1289864764,mdh makonida barqaror taraqqiyotni ta'minlash birinchi navbatda o'zimizga ya'ni hamdo'stlik davlatlariga bog'liq,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1289864764_2_31931_1.wav,10.98,ISSAI_USC_v1_murodbek_hf,,false
1289864764_2_32358_1,uz,1289864764,madaniyat va san'at kabi o'nlab muhim soha va tarmoqlar rivojini ayollarning ishtirokisiz tasavvur etib bo'lmaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1289864764_2_32358_1.wav,7.38,ISSAI_USC_v1_murodbek_hf,,false
1289864764_2_32409_1,uz,1289864764,bu fazilat el yurtimizning ezgu odatiga qadriyatiga aylanib ketgan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1289864764_2_32409_1.wav,5.1,ISSAI_USC_v1_murodbek_hf,uz_medium,true
1289864764_2_32459_1,uz,1289864764,shu borada yana bir fikrni ta'kidlab o'tishni istardim,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1289864764_2_32459_1.wav,3.48,ISSAI_USC_v1_murodbek_hf,,false
1289864764_2_32582_1,uz,1289864764,shu munosabat bilan bir muhim narsadan doim sezgir bo'lishimiz darkor,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1289864764_2_32582_1.wav,4.98,ISSAI_USC_v1_murodbek_hf,,false
1289864764_2_32711_2,uz,1289864764,bolalar sportini rivojlantirish jamg'armasi ijrochi direktori haqida so'z boradi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1289864764_2_32711_2.wav,5.46,ISSAI_USC_v1_murodbek_hf,uz_medium,true
265773029_2_33374_2,uz,265773029,avvalroq xitoyda tahsil olayotgan o'zbekistonlik talabalarning bir guruhi o'zbekistonga qaytarilgani haqida xabar berilgan edi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\265773029_2_33374_2.wav,12.267,ISSAI_USC_v1_murodbek_hf,,false
265773029_2_75008_2,uz,265773029,agar ilmiy kengash sen aytgan qarorda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\265773029_2_75008_2.wav,2.84,ISSAI_USC_v1_murodbek_hf,,false
265773029_2_79849_1,uz,265773029,avvalroq aqshda koronavirusni bezgakka qarshi dorilar bilan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\265773029_2_79849_1.wav,4.92,ISSAI_USC_v1_murodbek_hf,,false
265773029_2_79873_1,uz,265773029,biroq ayaks nurning oilasi bilan muzokara,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\265773029_2_79873_1.wav,4.04,ISSAI_USC_v1_murodbek_hf,,false
265773029_2_83580_2,uz,265773029,esa sira kesishmaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\265773029_2_83580_2.wav,2.68,ISSAI_USC_v1_murodbek_hf,,false
265773029_2_88394_1,uz,265773029,butun dunyo odamlarini uyda o'tirishga majbur qilmoqda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\265773029_2_88394_1.wav,5.0,ISSAI_USC_v1_murodbek_hf,uz_medium,true
709378413_1_30286_1,uz,709378413,oldi peshayvon ikki xonali o'sha eski uyiga borib chiroqlarni yoqmay tanchaga cho'g' tashlamay tong ottirardi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709378413_1_30286_1.wav,8.607,ISSAI_USC_v1_murodbek_hf,,false
709378413_1_30301_1,uz,709378413,ishonch qo'rquvdan ustun keldi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709378413_1_30301_1.wav,2.667,ISSAI_USC_v1_murodbek_hf,,false
709378413_1_30315_1,uz,709378413,so'ng yana o'sha ovozda asad deb qo'ydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709378413_1_30315_1.wav,3.326,ISSAI_USC_v1_murodbek_hf,,false
709378413_1_30328_1,uz,709378413,kuzda birdaniga o'n yettita yong'oqni yutqizganida ham alamidan yig'lab yuboruvdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709378413_1_30328_1.wav,7.046,ISSAI_USC_v1_murodbek_hf,,false
709378413_1_83034_1,uz,709378413,ularning ikkisi ko'chaning u boshida,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709378413_1_83034_1.wav,3.08,ISSAI_USC_v1_murodbek_hf,,false
709378413_1_83077_1,uz,709378413,bu holatni u keyin,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709378413_1_83077_1.wav,2.08,ISSAI_USC_v1_murodbek_hf,uz_short,true
709790549_1_21250_1,uz,709790549,hamma narsa faqat vaqt bilan pishadi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709790549_1_21250_1.wav,4.106,ISSAI_USC_v1_murodbek_hf,uz_control,true
709790549_1_21260_1,uz,709790549,bularning barchasi o'z vaqtlarini boshqara olmaslikning natijasidir,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709790549_1_21260_1.wav,6.087,ISSAI_USC_v1_murodbek_hf,,false
709790549_1_21271_1,uz,709790549,diqqatni jamlash va vaqtingizdan to'g'ri foydalanish qobiliyati hamma narsadir,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709790549_1_21271_1.wav,6.987,ISSAI_USC_v1_murodbek_hf,,false
709790549_1_21281_1,uz,709790549,shunday ekan keling adabiyot olamiga sho'ng'ib u yerdan ozgina donolik olaylik,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709790549_1_21281_1.wav,6.747,ISSAI_USC_v1_murodbek_hf,,false
709790549_1_74022_1,uz,709790549,vaqt haqidagi eng yaxshi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709790549_1_74022_1.wav,2.96,ISSAI_USC_v1_murodbek_hf,,false
709790549_1_82548_1,uz,709790549,buni juda kech tushunasiz,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\709790549_1_82548_1.wav,1.92,ISSAI_USC_v1_murodbek_hf,uz_short,true
1131474547_2_29208_1,uz,1131474547,ammo boshqa bir sabab bilan hayvon deya olmayman,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1131474547_2_29208_1.wav,4.611,ISSAI_USC_v1_murodbek_hf,,false
1131474547_2_29213_1,uz,1131474547,bu gaplarni so'nggi nafasda jon taslim qilayotganida hali eslaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1131474547_2_29213_1.wav,4.902,ISSAI_USC_v1_murodbek_hf,,false
1131474547_2_29220_1,uz,1131474547,u yerga mahkamlangan qattiq kursiga o'tirib boshini xam qildi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1131474547_2_29220_1.wav,5.519,ISSAI_USC_v1_murodbek_hf,uz_medium,true
1131474547_2_30665_1,uz,1131474547,u necha yil qasos yog'ida qovrildi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1131474547_2_30665_1.wav,3.703,ISSAI_USC_v1_murodbek_hf,,false
1131474547_2_30671_1,uz,1131474547,ha hofiz eson omon chiqib keldingizmi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1131474547_2_30671_1.wav,4.242,ISSAI_USC_v1_murodbek_hf,,false
1131474547_2_30677_1,uz,1131474547,aka ukaligimiz bor edi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1131474547_2_30677_1.wav,2.546,ISSAI_USC_v1_murodbek_hf,uz_short,true
972644779_2_78974_2,uz,972644779,maktabgacha va boshlang'ich ta'limda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\972644779_2_78974_2.wav,3.48,ISSAI_USC_v1_murodbek_hf,,false
972644779_2_78980_1,uz,972644779,ammo prognozlar afrikada buning uddasidan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\972644779_2_78980_1.wav,3.44,ISSAI_USC_v1_murodbek_hf,,false
972644779_2_78989_2,uz,972644779,oxfam'ning yillik hisoboti davosdagi butunjahon ix,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\972644779_2_78989_2.wav,4.6,ISSAI_USC_v1_murodbek_hf,,false
972644779_2_87507_3,uz,972644779,humo air tovar belgisini ro'yxatdan o'tkazish bo'yicha talabnoma kiritilgan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\972644779_2_87507_3.wav,4.95,ISSAI_USC_v1_murodbek_hf,,false
972644779_2_87520_1,uz,972644779,shaxsiy munosabati yaxshiligiga urg'u bermoqda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\972644779_2_87520_1.wav,4.2,ISSAI_USC_v1_murodbek_hf,,false
972644779_2_87529_2,uz,972644779,yengilashtirishga qaratilgan chora tadbirlar ishlab chiqarishga chaqirdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\972644779_2_87529_2.wav,4.8,ISSAI_USC_v1_murodbek_hf,,false
961149717_2_80050_1,uz,961149717,bugungi kunda kasallikni,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\961149717_2_80050_1.wav,1.88,ISSAI_USC_v1_murodbek_hf,uz_short,true
961149717_2_80060_2,uz,961149717,yhxb inspektorlarida bodikameralar bo'lmagan taqdirda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\961149717_2_80060_2.wav,8.16,ISSAI_USC_v1_murodbek_hf,,false
961149717_2_80911_2,uz,961149717,menda bor ma'lumotlarga ko'ra aynan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\961149717_2_80911_2.wav,5.2,ISSAI_USC_v1_murodbek_hf,uz_medium,true
961149717_2_88588_1,uz,961149717,olishining qiyinlashishiga shikoyat qilgan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\961149717_2_88588_1.wav,2.6,ISSAI_USC_v1_murodbek_hf,uz_short,true
961149717_2_88600_1,uz,961149717,biz ishga chiqishimiz bilan yoqiladi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\961149717_2_88600_1.wav,3.28,ISSAI_USC_v1_murodbek_hf,,false
961149717_2_89451_1,uz,961149717,aniqlik kiritib o'taman,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\961149717_2_89451_1.wav,2.04,ISSAI_USC_v1_murodbek_hf,uz_short,true
467174862_2_34029_2,uz,467174862,aytilishicha viloyat favqulotda vaziyatlar boshqarmasiga bu haqda xabar tushmagan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\467174862_2_34029_2.wav,5.787,ISSAI_USC_v1_murodbek_hf,uz_medium,true
467174862_2_34032_1,uz,467174862,ta'kidlanishicha masjid qurilishiga jalb etilgan maxsus texnika qabrlar ko'milgan joylarda ishlamagan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\467174862_2_34032_1.wav,8.066,ISSAI_USC_v1_murodbek_hf,uz_control,true
467174862_2_34135_1,uz,467174862,bu haqda galereya egasi peder enstryomga tayanib aftonbladet nashri xabar,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\467174862_2_34135_1.wav,7.106,ISSAI_USC_v1_murodbek_hf,,false
467174862_2_34137_1,uz,467174862,gumonlanuvchilar hozircha qo'lga olingani yo'q,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\467174862_2_34137_1.wav,3.506,ISSAI_USC_v1_murodbek_hf,,false
467174862_2_34142_1,uz,467174862,bu haqda interfaks xabar bermoqda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\467174862_2_34142_1.wav,3.747,ISSAI_USC_v1_murodbek_hf,,false
467174862_2_34144_1,uz,467174862,butun dunyoda odamlar koronavirusdan qanday himoyalanmoqda fotogalereya,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\467174862_2_34144_1.wav,5.966,ISSAI_USC_v1_murodbek_hf,uz_medium,true
1428043076_2_33684_1,uz,1428043076,shanxayda bo'lib o'tgan o'yinda mezbonlar yirik hisobdagi g'alabani qo'lga kiritdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1428043076_2_33684_1.wav,6.386,ISSAI_USC_v1_murodbek_hf,uz_control,true
1428043076_2_33686_1,uz,1428043076,qozog'istonda koronavirus sabab xitoy fuqarolariga viza rasmiylashtirish tartibini qiyinlashtirdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1428043076_2_33686_1.wav,7.439,ISSAI_USC_v1_murodbek_hf,,false
1428043076_2_35674_1,uz,1428043076,lotin amerikasida o'liklar kuni nishonlanmoqda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1428043076_2_35674_1.wav,3.926,ISSAI_USC_v1_murodbek_hf,,false
1428043076_2_35680_1,uz,1428043076,bularning barchasi kompaniya xizmatlarini tanlagan abonentlarga tashakkur sifatida bepul bonuslardir,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1428043076_2_35680_1.wav,6.867,ISSAI_USC_v1_murodbek_hf,,false
1428043076_2_35682_1,uz,1428043076,saytda tanishib chiqish mumkin,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1428043076_2_35682_1.wav,2.667,ISSAI_USC_v1_murodbek_hf,,false
1428043076_2_35686_1,uz,1428043076,qayd etilishicha palata mulkiy huquqlarni jamoaviy asosda boshqaradigan tashkilot hisoblanadi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1428043076_2_35686_1.wav,6.627,ISSAI_USC_v1_murodbek_hf,,false
382004286_2_20596_1,uz,382004286,boburjon egachingizning so'ziga ham ishoning,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\382004286_2_20596_1.wav,4.046,ISSAI_USC_v1_murodbek_hf,uz_control,true
382004286_2_20598_1,uz,382004286,siz bilan biz uchun ham bu umr g'animat,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\382004286_2_20598_1.wav,4.346,ISSAI_USC_v1_murodbek_hf,,false
382004286_2_20602_1,uz,382004286,bular sizning yoshligingizdan foydalanurlar,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\382004286_2_20602_1.wav,3.506,ISSAI_USC_v1_murodbek_hf,,false
382004286_2_20607_1,uz,382004286,ammo boburning o'zi ham ko'ngli erib ko'z yoshini zo'rg'a tutib turardi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\382004286_2_20607_1.wav,5.546,ISSAI_USC_v1_murodbek_hf,uz_medium,true
382004286_2_20609_1,uz,382004286,bir tug'ishgan yagona egachimsiz,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\382004286_2_20609_1.wav,2.966,ISSAI_USC_v1_murodbek_hf,,false
382004286_2_20612_1,uz,382004286,toki bormen suymagan odamingizga uzattirmasmen,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\382004286_2_20612_1.wav,4.3,ISSAI_USC_v1_murodbek_hf,,false
351600865_2_79119_1,uz,351600865,ammo hamon ko'cha savdosi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\351600865_2_79119_1.wav,3.08,ISSAI_USC_v1_murodbek_hf,,false
351600865_2_79123_1,uz,351600865,bu manzildagi sotuvchilar uchun yuqorida aytilgan pavilyonlari,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\351600865_2_79123_1.wav,4.05,ISSAI_USC_v1_murodbek_hf,,false
351600865_2_87658_1,uz,351600865,dastlabki suratini e'lon qildi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\351600865_2_87658_1.wav,3.56,ISSAI_USC_v1_murodbek_hf,,false
351600865_2_87661_1,uz,351600865,mazkur maqolaga e'tibor qaratdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\351600865_2_87661_1.wav,3.56,ISSAI_USC_v1_murodbek_hf,,false
351600865_2_87665_1,uz,351600865,kelishib savdo faoliyatini yo'lga qo'yishlariga bog'liq,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\351600865_2_87665_1.wav,4.72,ISSAI_USC_v1_murodbek_hf,,false
1229529100_2_16406_1,uz,1229529100,vaqtli harakat oxiri barakat,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1229529100_2_16406_1.wav,3.087,ISSAI_USC_v1_murodbek_hf,,false
1229529100_2_19828_1,uz,1229529100,shundan keyin ko'prikning allaqayeri qirsilladi yu ammo o'zi avvalgiday turaverdi dedi mahmud madorsizlanib,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1229529100_2_19828_1.wav,8.127,ISSAI_USC_v1_murodbek_hf,,false
1229529100_2_19832_1,uz,1229529100,muncha qarsillatma narigi adirdan yog'iy kelayotganga o'xshaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1229529100_2_19832_1.wav,4.707,ISSAI_USC_v1_murodbek_hf,,false
1229529100_2_19837_1,uz,1229529100,yomg'ir tog'larda qattiq quyayotganligi uchun quvasoyning suvi tobora ko'tarilib bormoqda edi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1229529100_2_19837_1.wav,6.806,ISSAI_USC_v1_murodbek_hf,,false
5fa23084bf8a8,kk,20715,онда суретші болып жұмыс істейді,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5fa23084bf8a8.wav,3.49,ISSAI_KSC_v1.1_SLR102,,false
5f5a3867a567b,kk,20715,бірақ мақтанатыны қазіргі кезде де сол дастархан басындағы пікір таластар ата бабамыздың басынан өткен оқиғалар әке шешеміздің қиыншылықтары туралы әңгімелеп отырады,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f5a3867a567b.wav,14.933,ISSAI_KSC_v1.1_SLR102,,false
5f5a3a7a16ebc,kk,20715,екі мың оныншы жылғы мәліметтер бойынша тұрғындарының саны жеті жүз жиырма екі адамды құрайды,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f5a3a7a16ebc.wav,11.605,ISSAI_KSC_v1.1_SLR102,,false
5f5fa22107b89,kk,20715,бір күні ананың бұл өмірдегі миссиясы бітіп басқа өмірге аттанады,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f5fa22107b89.wav,6.79,ISSAI_KSC_v1.1_SLR102,,false
5f618850eae14,kk,22037,ал жетістікке жеткен болса мен бұдан де ұлы белесті бағындыра аламын деп алдына мақсат қояды,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f618850eae14.wav,10.496,ISSAI_KSC_v1.1_SLR102,,false
5f618afd11dd4,kk,22037,фильмнің алғашқы минуттарынан бастап күлкіге бөлінесің,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f618afd11dd4.wav,5.205,ISSAI_KSC_v1.1_SLR102,kk_medium,true
5f5af51dd15b0,kk,12793,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f5af51dd15b0.wav,5.888,ISSAI_KSC_v1.1_SLR102,,false
5f5af6ad8d716,kk,12793,ол ауадан ба тұқымнан ба ешкім әлі анықтаған емес,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\kk\5f5af6ad8d716.wav,5.291,ISSAI_KSC_v1.1_SLR102,,false
