utterance_id,speaker_id,transcript,split,language,source_type,gender,age,region,device_type,headphones,pilot_stratum
5f5682108a26b,15872,бір мың тоғыз жүз сексен бесінші жылы жүз елуінші жылдығына байланысты ауылда тарихи мемориалдық мұражай ашылған,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f56843323f4d,15872,тоғыз ай бойы уақытымның көп бөлігін мектепте өткіземін,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f568678a4af9,15872,жансебілдік адам бойындағы ерекше төзімділікті білдіретін этикалық ұғым,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f5687ef27ae5,15872,алдағы үш жылда жүз қырық төрт мың ұстаздың біліктігін арттырамыз,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f5689831fd8f,15872,ұялы байланыс құрылғылары мен байланыс арналарын пайдалана отырып төлемдер жасауға мүмкіндік беретін электронды төлем жүйесі болып табылады,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f59b810d0e81,15872,ізінше нұрсұлтан назарбаевтың саясатын қолдаушылар саны артты,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f59ba9a573fa,15872,бір ойдың өзі бір тілге қағазға түскенде бар қырын бірден аша салмайды бәлкім тіпті аша алмайды,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f59bdaee0bc8,15872,алайда жергілікті билік бұл мәселенің әзірше шешілмейтінін айтады,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f59c14cccb3d,15872,әне міне көреміз ойланайын деп жарты жылдай уақыттан соң аталған одаққа тіркелдім,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f5f2f4af22ec,15872,өзен сағасы матыра өзенінің сол жағалауынан жүз жиырма екі километр қашықтықта орналасқан,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f5f969d476ad,15872,соның ішінде панетий мен полибийдің рим мемлекетті ғажап құрылуы атты теориясы сүйенді,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f5fbc398489c,15872,мысалы арқалық қаласында мектептерді ғаламтор желісімен толық қамтылғанымен сапасы көңіл көншіптейді,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f5a58d5271d6,20805,ал енді өзің не жазып жүрсің,test,kk,studio_crowdsourced,F,20,North,phone,yes,
5f5a5cce97686,20805,арнайы бір ай көлемінде комиссия құрамы белгіленген болатын,test,kk,studio_crowdsourced,F,20,North,phone,yes,
5f5fbb63f1e9e,20805,ұялы шмальгаузения күрделі гүлдер тұқымдасына жататын көп жылдық өсімдік,test,kk,studio_crowdsourced,F,20,North,phone,yes,
5f5c4d459654e,20942,қазба жұмыстарын жүргізген солтүстік қазақстан университетінің археологиялық экспедициясы он бес гектар жерді алып жатқан қоныстан жүз елу сегіз үйдің орны қазылып ашылды,test,kk,studio_crowdsourced,F,20,North,phone,no,
5f5c4f8b4a95f,20942,болмаса біріңді қазақ бірің дос көрмесең істің бәрі бос,test,kk,studio_crowdsourced,F,20,North,phone,no,
5f5c9592d1147,20942,нұржан әлтаев қазақстан республикасы парламенті мәжілісінің депутаты,test,kk,studio_crowdsourced,F,20,North,phone,no,kk_medium
5f60bcc4cdf6a,21773,сөйтіп барып өмірдің тәуелсіздіктің бостандықтың не екенін түсінеді,test,kk,studio_crowdsourced,M,51,North,computer,yes,
5f60bfbbb40b6,21773,саған деген көңілім ақ ақ көңілді елемей қанша тағы жаралайсың,test,kk,studio_crowdsourced,M,51,North,computer,yes,
5f632ff891325,21773,дайындығын пысықтауға бағытталған ауқымды оқу жаттығу жұмыстары жүруде,test,kk,studio_crowdsourced,M,51,North,computer,yes,
5f60c84a13d09,21793,оны айтасыз ұлы реформатор патша петр біріншінің өзі ресейді латиницаға көшіруге талпынған екен,test,kk,studio_crowdsourced,M,32,North,computer,no,
5f60ca9ae9010,21793,соттың бұл шешімі заңгерлер арасында да екеу пікір тудырды,test,kk,studio_crowdsourced,M,32,North,computer,no,
5f62c1aa7abea,21793,зауыт фабрика жұмысшыларымен жастармен ардагерлермен түрлі ұлт өкілдерімен кездесті,test,kk,studio_crowdsourced,M,32,North,computer,no,
5f60fde353070,21985,үшеуі бір бірінен көз жазып қалмайық деп қол ұстасып бір шетке шықты,test,kk,studio_crowdsourced,M,39,North,phone,no,
5f60ffe6edf86,21985,оның аясына тап осындай алғашқы қызмет көрсету орталығы биыл жыл саласында астанада ашылған болатын,test,kk,studio_crowdsourced,M,39,North,phone,no,
5f61b29495e8c,21985,ол жылайды мен де жасым жасым төгемін,test,kk,studio_crowdsourced,M,39,North,phone,no,
5f5a0fe3dc52b,19753,сонда қыруар ақша далаға кетеді деген сөз,test,kk,studio_crowdsourced,F,33,South,phone,no,
5f5f4001ed700,19753,сондықтан жобаны жетілдіру үшін қазір біз өз ұсынымызды беріп жатырмыз,test,kk,studio_crowdsourced,F,33,South,phone,no,
5f5f58c7d1be8,19753,оларды көп жолаушының ішінен анықтауға тырыстым,test,kk,studio_crowdsourced,F,33,South,phone,no,
5f57769d18f03,20176,тұз кендері сібір мен солтүстік үндістанда фосфориттер қаратауда қытайда түзілген,test,kk,studio_crowdsourced,F,18,South,computer,yes,
5f9fbfa753a4f,20517,ал синтетика мүлдем басқаша әсер етеді,test,kk,studio_crowdsourced,F,19,South,phone,no,
5f58fef360aa9,20517,соңғы кезде телефон сөндірулі тұрады,test,kk,studio_crowdsourced,F,19,South,phone,no,kk_short
5f58da61cfa7d,20565,коко шанель мың сегіз жүз сексен үшінші жылы он тоғызыншы тамызда сомюр қаласында дүниеге келген,test,kk,studio_crowdsourced,F,62,South,phone,yes,
5f58df7ec1631,20565,көшпенділердің ұлттық ойындар алаңы жоспары бұл идеяның астарында он тоғызыншы ғасырда өмір сүрген ғұлама мәшһүр жүсіп көпейұлының наурыз қазығұрттан басталған деген сөзін жандандыру дәріптеу насихаттау жатыр,test,kk,studio_crowdsourced,F,62,South,phone,yes,
5f58e1781860f,20565,сондықтан кез келген уақытта медициналық орталықтың көмегіне жүгінуге болады,test,kk,studio_crowdsourced,F,62,South,phone,yes,
5f58c64b7f9c2,20567,қос аққудай бірге жүзген айдыныңда елу жыл бір болдыңыз анамызбен,test,kk,studio_crowdsourced,F,42,South,phone,no,
5f58c80e63259,20567,кемшіліксіз адамдар болмайды бұл дүниеде,test,kk,studio_crowdsourced,F,42,South,phone,no,kk_short
5f5c32b8d43da,20567,мысалы үшін айтады оңтүстікте машинаның үстін алып тастайды ал солтүстікте оны жабу керек қой,test,kk,studio_crowdsourced,F,42,South,phone,no,
5f5a55b5ed8ed,20802,оның төрт жасар баласы бола тұра ол маршировка жасай алды бір мың сегіз жүз қырық тоғызыншы жылғы революция кезінде көрермендердің жүрегіне патриоттық сезім ұялатқан,test,kk,studio_crowdsourced,F,56,South,phone,no,
5f5eef813f653,20802,сөзге шұқшия қадалудың қажеті жоқ деп салды,test,kk,studio_crowdsourced,F,56,South,phone,no,
5f5f84b82acee,20802,киімдері тозған үстіндегі көйлек кір,test,kk,studio_crowdsourced,F,56,South,phone,no,kk_short
5f57a71e15022,20185,бұл жердің даяшылары байбөріні жақсы таниды және көптің көзіне түспейтін оңаша оқшау өз орны бар ды,test,kk,studio_crowdsourced,M,21,South,computer,no,
5f6096dd41403,20872,салтанат ермекқызы бақаева қазақстандық танымал эстрада әншісі кино және театр актрисасы,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f609b758041b,20872,кейбір аңызға сүйенсек бір уақыттарда бұрынғы қасиеттілігін жоғалтыпты деседі,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f609eb0961f8,20872,бір түп алма ағашы өсіп тұрған бақ осы елді мекеннің тұрғыны орман үдербаевтың ауласы,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60a8e257546,20872,ата осының бәрі не үшін керек сізге,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60ad28b8a54,20872,одан әрі ойлауға да қорқатын,test,kk,studio_crowdsourced,M,65,South,phone,no,
5fa5018a756f5,20872,театрландырылған қойылымдарымыз жәрмеңкелеріміз көптеген жанұялық мерекелеріміз бар,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60b34b9e0d5,20872,президенттік кадрлық резервті іріктеудің төртінші кезеңі жиырма жетінші қараша күні басталады,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60bf0205760,20872,бір өзінде қырық кісінің күші бар деген сөз ел аузында сақталған,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60c27bd1e23,20872,яғни жалдамалы мамандар медициналық мәртебесін анықтай қоймаған,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60c5bb5fe4e,20872,мойны онша ұзын емес құлағы үлкен,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f62e093f2501,20872,ендігі тергеу барысында нақты анықталатын болады,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f630f355cf68,20872,шымкентте едел респираторлы жұқпалы инфекциядан емделген балаға дәрігерлік тік ішегін жуған,test,kk,studio_crowdsourced,M,65,South,phone,no,
5f60556814796,21515,дәстүрлі маңызды заттар өндіретін өнеркәсіптермен қатар жаңа материалдар шығаратын салалар пайда болды,test,kk,studio_crowdsourced,M,31,South,phone,no,
5f60577caf5ee,21515,облыста тұрғындарға ақпараттық қолдау көрсету мақсатында республикалық бірыңғай шұғыл желіден бөлек сенім телефоны да бар,test,kk,studio_crowdsourced,M,31,South,phone,no,
5f60597fe0fba,21515,алып жатқан жер аумағы жиырма бір бүтін үш шаршы километр шамасында,test,kk,studio_crowdsourced,M,31,South,phone,no,
5f61dfdfbb841,22073,ауыл шаруашылығы қызметкерлерімен зауыт фабрика жұмысшыларымен жастармен ардагерлермен түрлі ұлт өкілдерімен кездесті,test,kk,studio_crowdsourced,M,21,South,phone,no,
5f61e22145d48,22073,дауыс беруге қатқандардың жетпіс бес бүтін жүзден елу төрт пайызы өзін өзі басқаруды кеңейтуді қолдады жиырма үш бүтін жүзден елу жеті қарсы ал дауыс беруге құқығы бар аралдың отыз тоғыз мың тұрғынының жетпіс бір бүтін жүзден тоқсан алты пайызы қатысқандығын көрсетті,test,kk,studio_crowdsourced,M,21,South,phone,no,
5f61e3e7dedb0,22073,рас мен оларға әлемнің ең озық философ ойшылдары жайлы айтамын,test,kk,studio_crowdsourced,M,21,South,phone,no,kk_medium
5f61e4d7980e2,22108,жоғарғы ағысында ащыөзек ақтас көктал ал ақ шоқы ауылынан кейін жарлы аталады,test,kk,studio_crowdsourced,M,21,South,computer,no,
5f61e9c55858e,22108,сондай ақ тағы бір новатор халықаралық ақпараттық технологиялар университетіне грант ұтып алды,test,kk,studio_crowdsourced,M,21,South,computer,no,
5f63388e3603e,22108,ағалары да мәз арақ аңдып құтты болсын айтып келген қуларды армансыз суарып өздері де қоса ішіп көңілдері тасып жалғыз қарындастарының оқуға түскенін аянбай жуды,test,kk,studio_crowdsourced,M,21,South,computer,no,
5f59eaa9353ac,20678,соған ағаларыңның өзінің сөзін жаздық,test,kk,studio_crowdsourced,F,31,West,phone,no,kk_medium
5f59eed4d51ae,20678,серир ливияның ең үлкен мұнай кен орны,test,kk,studio_crowdsourced,F,31,West,phone,no,kk_short
5f5efa29ad422,20678,қайрат шыдамшылық пен табандылықты үйлестіре отырып еңбек ету арқасында биік белеске шығарымыз анық,test,kk,studio_crowdsourced,F,31,West,phone,no,
5f60e70411b98,21864,ксро ның құрметті шахтері социалистік еңбек ері,test,kk,studio_crowdsourced,F,29,West,phone,no,
5f60e8d1dc985,21864,мың тоғыз жүз жетпіс сегіз мың тоғыз жүз тоқсан үшінші жылы қазақстан саяси ғылымдар ассоциациясын басқарып ақш франция бразилия тағы басқа елдерде өткен халықтар,test,kk,studio_crowdsourced,F,29,West,phone,no,
5f60ecbbc5850,21864,бұл бітпейтін күйбең тіршілік секілді көрінеді,test,kk,studio_crowdsourced,F,29,West,phone,no,
5f5882100bde1,20316,бұл өнім де голландия технологиясы бойынша өсіріледі,test,kk,studio_crowdsourced,M,19,West,computer,no,
5f5885ef04dfd,20316,бала күнінде қырында ойнақ салған өмірдің боранында адасқан шақтарында түсіне жиі жиі кірген ауылы ойлай ма,test,kk,studio_crowdsourced,M,19,West,computer,no,
5f9f8df65e08c,20316,ұнататын адамының әлеуметтік желіде тым көп мазасын алу,test,kk,studio_crowdsourced,M,19,West,computer,no,
5f60ae45d8f64,21511,сондықтан оқылмаған жиырма кітапты оқу негізгі мақсатым,test,kk,studio_crowdsourced,M,33,West,phone,no,
5f6193ff2f16c,21511,суды өздері қазған құдықтан ішуге мәжбүр,test,kk,studio_crowdsourced,M,33,West,phone,no,
5f60e36b7fe64,21862,алматы тұрғындарын осы аумақты сақтауға оған өз үйіндей қарауға шақырамын,test,kk,studio_crowdsourced,M,29,West,phone,no,
