utterance_id,speaker_id,transcript,split,source_type,pilot_stratum
265773029_2_88394_1,265773029,butun dunyo odamlarini uyda o'tirishga majbur qilmoqda,test,UNKNOWN,uz_medium
709378413_1_30286_1,709378413,oldi peshayvon ikki xonali o'sha eski uyiga borib chiroqlarni yoqmay tanchaga cho'g' tashlamay tong ottirardi,test,UNKNOWN,
709378413_1_30301_1,709378413,ishonch qo'rquvdan ustun keldi,test,UNKNOWN,
709378413_1_30315_1,709378413,so'ng yana o'sha ovozda asad deb qo'ydi,test,UNKNOWN,
709378413_1_30328_1,709378413,kuzda birdaniga o'n yettita yong'oqni yutqizganida ham alamidan yig'lab yuboruvdi,test,UNKNOWN,
709378413_1_83034_1,709378413,ularning ikkisi ko'chaning u boshida,test,UNKNOWN,
709378413_1_83077_1,709378413,bu holatni u keyin,test,UNKNOWN,uz_short
709790549_1_21250_1,709790549,hamma narsa faqat vaqt bilan pishadi,test,UNKNOWN,uz_control
709790549_1_21260_1,709790549,bularning barchasi o'z vaqtlarini boshqara olmaslikning natijasidir,test,UNKNOWN,
709790549_1_21271_1,709790549,diqqatni jamlash va vaqtingizdan to'g'ri foydalanish qobiliyati hamma narsadir,test,UNKNOWN,
709790549_1_21281_1,709790549,shunday ekan keling adabiyot olamiga sho'ng'ib u yerdan ozgina donolik olaylik,test,UNKNOWN,
709790549_1_74022_1,709790549,vaqt haqidagi eng yaxshi,test,UNKNOWN,
709790549_1_82548_1,709790549,buni juda kech tushunasiz,test,UNKNOWN,uz_short
1131474547_2_29208_1,1131474547,ammo boshqa bir sabab bilan hayvon deya olmayman,test,UNKNOWN,
1131474547_2_29213_1,1131474547,bu gaplarni so'nggi nafasda jon taslim qilayotganida hali eslaydi,test,UNKNOWN,
1131474547_2_29220_1,1131474547,u yerga mahkamlangan qattiq kursiga o'tirib boshini xam qildi,test,UNKNOWN,uz_medium
1131474547_2_30665_1,1131474547,u necha yil qasos yog'ida qovrildi,test,UNKNOWN,
1131474547_2_30671_1,1131474547,ha hofiz eson omon chiqib keldingizmi,test,UNKNOWN,
1131474547_2_30677_1,1131474547,aka ukaligimiz bor edi,test,UNKNOWN,uz_short
972644779_2_78974_2,972644779,maktabgacha va boshlang'ich ta'limda,test,UNKNOWN,
972644779_2_78980_1,972644779,ammo prognozlar afrikada buning uddasidan,test,UNKNOWN,
972644779_2_78989_2,972644779,oxfam'ning yillik hisoboti davosdagi butunjahon ix,test,UNKNOWN,
972644779_2_87507_3,972644779,humo air tovar belgisini ro'yxatdan o'tkazish bo'yicha talabnoma kiritilgan,test,UNKNOWN,
972644779_2_87520_1,972644779,shaxsiy munosabati yaxshiligiga urg'u bermoqda,test,UNKNOWN,
972644779_2_87529_2,972644779,yengilashtirishga qaratilgan chora tadbirlar ishlab chiqarishga chaqirdi,test,UNKNOWN,
961149717_2_80050_1,961149717,bugungi kunda kasallikni,test,UNKNOWN,uz_short
961149717_2_80060_2,961149717,yhxb inspektorlarida bodikameralar bo'lmagan taqdirda,test,UNKNOWN,
961149717_2_80911_2,961149717,menda bor ma'lumotlarga ko'ra aynan,test,UNKNOWN,uz_medium
961149717_2_88588_1,961149717,olishining qiyinlashishiga shikoyat qilgan,test,UNKNOWN,uz_short
961149717_2_88600_1,961149717,biz ishga chiqishimiz bilan yoqiladi,test,UNKNOWN,
961149717_2_89451_1,961149717,aniqlik kiritib o'taman,test,UNKNOWN,uz_short
467174862_2_34029_2,467174862,aytilishicha viloyat favqulotda vaziyatlar boshqarmasiga bu haqda xabar tushmagan,test,UNKNOWN,uz_medium
467174862_2_34032_1,467174862,ta'kidlanishicha masjid qurilishiga jalb etilgan maxsus texnika qabrlar ko'milgan joylarda ishlamagan,test,UNKNOWN,uz_control
467174862_2_34135_1,467174862,bu haqda galereya egasi peder enstryomga tayanib aftonbladet nashri xabar,test,UNKNOWN,
467174862_2_34137_1,467174862,gumonlanuvchilar hozircha qo'lga olingani yo'q,test,UNKNOWN,
467174862_2_34142_1,467174862,bu haqda interfaks xabar bermoqda,test,UNKNOWN,
467174862_2_34144_1,467174862,butun dunyoda odamlar koronavirusdan qanday himoyalanmoqda fotogalereya,test,UNKNOWN,uz_medium
1428043076_2_33684_1,1428043076,shanxayda bo'lib o'tgan o'yinda mezbonlar yirik hisobdagi g'alabani qo'lga kiritdi,test,UNKNOWN,uz_control
1428043076_2_33686_1,1428043076,qozog'istonda koronavirus sabab xitoy fuqarolariga viza rasmiylashtirish tartibini qiyinlashtirdi,test,UNKNOWN,
1428043076_2_35674_1,1428043076,lotin amerikasida o'liklar kuni nishonlanmoqda,test,UNKNOWN,
1428043076_2_35680_1,1428043076,bularning barchasi kompaniya xizmatlarini tanlagan abonentlarga tashakkur sifatida bepul bonuslardir,test,UNKNOWN,
1428043076_2_35682_1,1428043076,saytda tanishib chiqish mumkin,test,UNKNOWN,
1428043076_2_35686_1,1428043076,qayd etilishicha palata mulkiy huquqlarni jamoaviy asosda boshqaradigan tashkilot hisoblanadi,test,UNKNOWN,
382004286_2_20596_1,382004286,boburjon egachingizning so'ziga ham ishoning,test,UNKNOWN,uz_control
382004286_2_20598_1,382004286,siz bilan biz uchun ham bu umr g'animat,test,UNKNOWN,
382004286_2_20602_1,382004286,bular sizning yoshligingizdan foydalanurlar,test,UNKNOWN,
382004286_2_20607_1,382004286,ammo boburning o'zi ham ko'ngli erib ko'z yoshini zo'rg'a tutib turardi,test,UNKNOWN,uz_medium
382004286_2_20609_1,382004286,bir tug'ishgan yagona egachimsiz,test,UNKNOWN,
382004286_2_20612_1,382004286,toki bormen suymagan odamingizga uzattirmasmen,test,UNKNOWN,
351600865_2_79119_1,351600865,ammo hamon ko'cha savdosi,test,UNKNOWN,
351600865_2_79123_1,351600865,bu manzildagi sotuvchilar uchun yuqorida aytilgan pavilyonlari,test,UNKNOWN,
351600865_2_87658_1,351600865,dastlabki suratini e'lon qildi,test,UNKNOWN,
351600865_2_87661_1,351600865,mazkur maqolaga e'tibor qaratdi,test,UNKNOWN,
351600865_2_87665_1,351600865,kelishib savdo faoliyatini yo'lga qo'yishlariga bog'liq,test,UNKNOWN,
1229529100_2_16406_1,1229529100,vaqtli harakat oxiri barakat,test,UNKNOWN,
1229529100_2_19828_1,1229529100,shundan keyin ko'prikning allaqayeri qirsilladi yu ammo o'zi avvalgiday turaverdi dedi mahmud madorsizlanib,test,UNKNOWN,
1229529100_2_19832_1,1229529100,muncha qarsillatma narigi adirdan yog'iy kelayotganga o'xshaydi,test,UNKNOWN,
1229529100_2_19837_1,1229529100,yomg'ir tog'larda qattiq quyayotganligi uchun quvasoyning suvi tobora ko'tarilib bormoqda edi,test,UNKNOWN,
